192	11.10.2024	ID2019206300	Martin Rabanus (SPD)	Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! In der abschließenden Bewertung kann ich mich Herrn Hoppenstedt anschließen. Natürlich war es nicht die Intention der AfD, hier eine ernsthafte Debatte über Alphabetisierung zu führen.  Das ist auch in dem, was Frau Kollegin Höchst gesagt hat, sehr deutlich geworden,  die es als Mitglied des Bildungsausschusses ja eigentlich besser wissen müsste. Aber die Intention war eben, hier wieder eine fremdenfeindliche Soße zusammenzurühren, um sich mal wieder, wie wir das von der AfD kennen, eine Gruppe, die als besonders diffamierungsfähig zu gelten scheint, herauszunehmen und auf dieser herumzuhacken.  Das ist nicht überraschend – so weit, so schlecht –; denn so kennen wir Sie, und wir kennen Sie halt nicht anders. Insofern war das alles auch nicht überraschend, was von Ihrer Seite an der Stelle kam.  – In der Tat, es ist nicht überraschend, dass ich einen anderen Ansatz habe als die AfD, nämlich zu schauen: Welche Unterstützungen brauchen wir denn für Menschen, die hier im Land sind? Das muss doch der Ansatz sein.  Ich werde auch nicht über Ihr Stöckchen springen und jetzt eine Debatte über Migration und Zuzug im Allgemeinen führen. Es geht hier um Menschen, die hier im Land sind, denen hier auch Teilhabe gesichert werden soll.  Es ist doch eine Binsenweisheit, dass es um Sprachkompetenz geht, dass man Sprachkompetenz braucht, um Teilhabe in einem Land zu erfahren.  Genau an dieser Stelle setzt doch auch das Thema Integrationskurs mit Alphabetisierung ein. Es geht gar nicht um die Frage, ob das alles perfekt ist, was dort gemacht wird. Es geht nicht um die Frage, ob man das System nicht verbessern kann. Ich finde es aber ein starkes Stück, Frau Höchst – das muss ich tatsächlich mal sagen –, wenn Sie die vielen Partnerinnen und Partner, die Integrationskurse geben, so mir nichts, dir nichts gleich mit schlechtmachen, indem Sie sagen, das sei eine Liste von 1 000 Anbietern, die nur mäßige Arbeit machen. Damit meinen Sie dann offensichtlich auch die Bildungswerke der Wirtschaft, die Bildungswerke der Gewerkschaften, die Bildungswerke der Kirchen und Religionsgemeinschaften und ganz nebenbei noch 400 Volkshochschulen, die sich dort auch verdient machen. Ich finde, das ist eine ziemliche Unverschämtheit. Das will ich an der Stelle auch mal deutlich sagen.  Es ist andersherum hingegen so – und richtigerweise ist es so –, dass sich unterschiedliche Bundesregierungen, Bundesregierungen unterschiedlicher Zusammensetzung Gedanken über Alphabetisierung und Grundbildung machen und gemacht haben, allerspätestens seit der LEO-Studie I aus 2010/2011, wo wir gelernt haben, dass 7,5 Millionen funktionale Analphabeten in unserem Land sind, und wir auch – übrigens in gemeinsamer Verantwortung mit der Union – die Alphastrategie, die AlphaDekade aufgesetzt haben, die jetzt in zwei Jahren ausläuft.  Wir wissen – LEO-Studie II von 2018 –, dass wir immer noch 6,2 Millionen funktionale Analphabeten haben. Es ist genannt worden: Über die Hälfte davon haben Deutsch als Muttersprache.  Und das ist das Thema, das wir brauchen.  Wir haben Deutsche mit deutschem Hintergrund – was auch immer das ist –,  wir haben Deutsche mit ausländischem Hintergrund, wir haben Bürgerinnen und Bürger aus der Europäischen Union und Bürgerinnen und Bürger von außerhalb der Europäischen Union. Und in all diesen Gruppen gibt es Menschen, die beim Thema Alphabetisierung und Grundbildung Unterstützung brauchen.  Ich finde es richtig, dass wir als Ampel – wir als SPD vorher auch schon in anderen Koalitionszusammenhängen – sagen: Wir wollen dieses Problem nicht nur beschreiben, sondern es auch ernsthaft angehen.  Wir erwarten die Evaluierung der AlphaDekade – wahrscheinlich noch in diesem Jahr –, um das dann parlamentarisch aufzugreifen und zu schauen, dass wir wirklich etwas für die Menschen machen können, die es benötigen,  und um dann tatsächlich in dieser Wahlperiode auch noch die Weichen dafür zu stellen, einen Anschluss für die AlphaDekade zu bekommen.  Das ist der Unterschied: Wir handeln,  Sie reden, Sie verhetzen. Und das lassen wir Ihnen nicht durchgehen.  Herzlichen Dank.  Vielen Dank, Herr Kollege Rabanus. – Letzte Rednerin in dieser Debatte ist die Kollegin Marlene Schönberger, Bündnis 90/Die Grünen.
84	08.02.2023	ID208409500	Dr. Robert Habeck, Bundesminister für Wirtschaft und Klimaschutz	Das war der Sinn meiner Ausführungen. Genau darauf will ich hinaus: dass wir unsere Prinzipien in den gesellschaftlichen Normen, die wir haben,  verankern und diese gesellschaftlichen Normen zum Ziel von wirtschaftlicher Tätigkeit machen, so wie es meistens in diesem Fall die Gründungsväter der sozialen  Marktwirtschaft der Bundesrepublik ersonnen haben; dies auch als Unterscheidung des ökonomischen Systems Europas, das das ja übernommen hat, mit Blick auf  andere ökonomische Systeme, etwa in China oder in den USA, wo die wirtschaftliche Prosperität eben nicht automatisch der Stärkung der Gesellschaft dient,  sondern manchmal anderen Interessen. Insofern stimmen wir da überein.  Dann kommen wir zum nächsten Fragesteller. Das ist für die CDU/CSU Ulrich Lange.
131	19.10.2023	ID2013115700	Wilfried Oellers (CDU/CSU)	Sehr geehrte Frau Präsidentin! Liebe Kolleginnen und Kollegen! Meine sehr geehrten Damen und Herren! Betreuungsvereine, Betreuerinnen und Betreuer sowie Berufsbetreuer leisten Unverzichtbares für unsere Gesellschaft. Sie geben Menschen die Möglichkeit, am gesellschaftlichen Leben teilzuhaben, die aufgrund einer Beeinträchtigung, zum Beispiel einer Verletzung oder aus geistigen Gründen, dazu nicht in der Lage sind.  Die Berufsbetreuerinnen und Berufsbetreuer der Betreuungsvereine sind auf der einen Seite insbesondere durch die Inflation, auf der anderen Seite durch ein neues Betreuungsrecht, wodurch eine Aufgabenausweitung stattgefunden hat, wirklich in Schwierigkeiten geraten. Zudem ist die Situation eingetreten, dass durch die Regelungen des Bürgergeldes und die damit verbundene Erhöhung des Schonvermögens von 5 000 auf 10 000 Euro die Einnahmen der Berufsbetreuer rückläufig sind, weil Leistungen, deren Höhe innerhalb des Schonvermögens von 5 000 bis 10 000 Euro liegt, nur zu einem geringeren Teil vergütet werden. Das war sicherlich ungewollt, muss aber im Ergebnis korrigiert werden.  Deswegen haben wir als CDU/CSU-Fraktion noch vor der Sommerpause einen entsprechenden Antrag eingereicht,  um die Betreuungsvereine und Betreuerinnen und Betreuer entsprechend finanziell zu entlasten. Ich danke Ihnen, sehr geehrter Herr Minister Buschmann, und auch den Ampelfraktionen jetzt sehr dafür, dass es gelungen ist, einen Gesetzentwurf einzureichen, weil die Zeit drängt.  Erste Betreuungsvereine hören schon auf. Und Berufsbetreuerinnen und Berufsbetreuer nehmen manchmal schon keine neuen Tätigkeiten mehr an, weil sie überlastet sind und sie die Kosten aufgrund der geringen Erstattung, die sie erhalten, nicht weiter tragen können. Deswegen ist das, was vorgeschlagen wird, ein erster guter Schritt. Ich würde es aber sehr begrüßen, wenn der Ausgleich von 7,50 Euro, der ins Schaufenster gestellt wird, doch erhöht wird.  Ich kenne die Kassenlage. Der Bundesverband der Berufsbetreuer*innen hat die Lebenshaltungskosten durch Inflation als um 13,4 Prozent erhöht angesehen und die Betriebskosten für ein Betreuungsbüro mit einem Mehraufwand von 19,3 Prozent beziffert. Deswegen kann das auch nur ein erster Schritt sein. Den sollten wir zügig gemeinsam gehen. Dabei werden wir Sie als CDU/CSU-Fraktion unterstützen und begleiten. Aber eine umfangreiche Reform muss dann auf jeden Fall zwingend und bitte auch zeitnah folgen.  Herzlichen Dank.  Thomas Seitz spricht für die AfD-Fraktion.
159	20.03.2024	ID2015903600	Nancy Faeser, Bundesministerin des Innern und für Heimat	Herzlichen Dank für die Frage, Frau Abgeordnete Wegge. – Bereits im letzten Jahr wurde aus meinem Haus ein Gesetzentwurf dazu vorgelegt, der noch nicht durchs Kabinett ist, sich aber in der Abstimmung in der Bundesregierung befindet.  Ich teile Ihre Einschätzung, dass es Lücken gibt, die wir schließen sollten, insbesondere in der Frage der Geeignetheit, wann also jemand eine Waffe tragen darf und wann nicht, und wie das überprüft werden kann. Wir haben bei dem furchtbaren Anschlag in Hamburg leider sehr bitter erleben müssen, dass, gerade wenn psychische Auffälligkeiten vorhanden sind, es doch besser wäre, wenn die Behörden die Möglichkeit hätten, dies auch zu überprüfen und dann die Waffenbesitzkarte frühzeitig zu entziehen. Daran arbeiten wir weiterhin.  Außerdem haben wir im Waffengesetz Lücken geschlossen. Beispielsweise sollten auch die Inhaber einer Schreckschusspistole einen Kleinen Waffenschein haben. Um auch das in Deutschland besser kontrollieren zu können, halte ich das für wichtig. Das Gleiche gilt für die Armbrust. – Vielen Dank.  Haben Sie eine Nachfrage?
92	17.03.2023	ID209205300	Schahina Gambir (BÜNDNIS 90/DIE GRÜNEN)	Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Sehr geehrte Damen und Herren! Kaum ein Jahr hat uns so sehr vor Augen geführt, wie wichtig der Internationale Frauentag immer noch ist. Weltweit müssen Frauen befürchten, dass ihre Rechte immer weiter eingeschränkt werden. Es ist so weit, dass Frauen nicht mehr auf die Straße gehen, um für mehr Rechte zu kämpfen, um echte Gleichberechtigung zu erlangen. Nein, sie kämpfen um das Elementarste überhaupt: ihre Grund- und Menschenrechte. Dafür müssen sie auch noch drakonische Strafen befürchten und ihr Leben aufs Spiel setzen. Sei es im Iran oder in Afghanistan.  Wir sehen in Afghanistan jeden Tag, wie rasant sich die Lebenssituation der Frauen verschlechtert, weil sie als minderwertig betrachtet werden und weil Rechtlosigkeit von Frauen Kern staatlicher Politik ist. Afghanistan – wir haben es heute schon gehört – ist das einzige Land auf der Welt, das Frauen und Mädchen den Zugang zu Bildung verwehrt, in dem sich Frauen nicht ohne männliche Begleitung frei bewegen können. Im Alltag bedeutet das, dass sie nicht in den Park gehen dürfen, dass sie keine Sportstätten besuchen dürfen,  dass sie nicht in Restaurants gehen dürfen und dass sie nicht arbeiten gehen dürfen. Frauen werden systematisch aus dem öffentlichen Leben verbannt; sie werden unsichtbar gemacht.  Wir können nicht sagen, welches frauenfeindliche Dekret die Taliban als Nächstes erlassen. Jeden Tag machen die Taliban menschenfeindliche Politik auf Kosten der eigenen Bevölkerung. Den höchsten Preis zahlen Frauen, Mädchen und weitere marginalisierte Gruppen. Nicht selten zahlen sie den Preis mit ihrem Leben.  Die Taliban sollen wissen: Wir schauen zu! Wir tolerieren die Missachtung von Frauenrechten nicht! Wir stehen an der Seite der afghanischen Frauen.  Folglich war es absolut notwendig, dass erstmals Sanktionen wegen Gewalt an Frauen gegen zwei afghanische Minister erlassen wurden. Die Sanktionen gegen den Minister für höhere Bildung und gegen den Minister für sogenannte Verbreitung der Tugend und Vorbeugung des Lasters zeigen, welchen Paradigmenwechsel feministische Außenpolitik einleiten kann und was es bedeutet, wenn menschliche Sicherheit den außenpolitischen Stellenwert bekommt, den sie verdient.  Wir werden Afghanistan nicht vergessen – dieser Satz darf keine hohle Phrase werden. Dieses Versprechen müssen wir halten: aus Verantwortung, wegen unserer Glaubwürdigkeit, aus Solidarität und weil wir es den afghanischen Frauen und Mädchen schuldig sind.  Vielen Dank.  Vielen Dank, Frau Kollegin Gambir. – Nächste Rednerin ist die Kollegin Joana Cotar, fraktionslos.
84	08.02.2023	ID208407700	Dr. Robert Habeck, Bundesminister für Wirtschaft und Klimaschutz	Frau Präsidentin, ich bin nicht in der Lage, die Frage zu beantworten, weil alle Unterstellungen falsch waren.  Wenn Sie mögen, versuche ich, das in der verbleibenden Zeit aufzudröseln.  Erst einmal: Es ist nicht die Verknappung der Energie durch die Bundesregierung, sondern die Einstellung der Gaslieferungen durch Wladimir Putin, die  im letzten Jahr zu der Hochpreisphase geführt hat. Es gibt keine Sanktionen beim Gas.  Sie verdrehen immer wieder Ursache und Wirkung. Es ist allerdings Deutschland und Europa gelungen, diese Gasknappheit zu beheben und damit Putins  Spiel zu durchkreuzen. Das ist ein großer politischer Erfolg. Die Preise gehen runter, die Speicher sind voll, und es gab keine Mangellage in diesem Winter.  Zweitens. Der Bericht der Bundesnetzagentur besagt exakt das Gegenteil von dem, was Sie daraus gemacht haben. Ich weiß nicht, ob Sie ihn nicht gelesen  oder nicht verstanden haben. Er besagt: Die deutsche Stromversorgung ist sicher. – Bis zum Jahr 2030 wird im Bericht geschaut. Es wird auch das Szenario  überprüft, dass die Kohlekraftwerke früher vom Netz gehen. Selbst dann wäre die deutsche Energieversorgung sicher. Insofern geht die Frage „Wie kommt das?“ am  Thema vorbei.  Sie dürfen eine Nachfrage stellen.
177	26.06.2024	ID2017704000	Dr. Robert Habeck, Bundesminister für Wirtschaft und Klimaschutz	Erst einmal will ich unterstreichen, dass ein Instrument, um Freiräume zu schaffen und dann mal ein paar Dinge zu probieren, bevor man sie flächendeckend in die Anwendung gibt, genau das Richtige ist und häufig dann auch sehr schnell zu Erkenntnissen, auch negativen, führt. Also dass man sagt: Na, der Weg scheint da nicht so gut zu sein; da gibt es irgendwie Überförderung oder Rebound-Effekte, die wir nicht haben wollen.  Im Moment ist die Konzentration vor allem auf die Erstellung des Haushalts gerichtet. Es gibt natürlich eine Reihe von anderen Gesetzesvorhaben; aber die Konzentration liegt im Grunde da. Und ich bin eigentlich zuversichtlich, dass in dem, was wir Dynamisierungspaket nennen, auch Formulierungen enthalten sein werden, um die Reallabore aufs Gleis zu setzen. Das wäre der erste Schritt, und die anderen kommen dann möglichst schnell.  Vielen Dank. – Kollege Ullrich, Sie haben eine Nachfrage.
171	05.06.2024	ID2017106200	Martin Sichert (AfD)	Meine Frage an Sie wäre: Sind Sie eigentlich stolz darauf, dass Sie die erste Regierung seit 1944 sind, unter der deutsche Raketen und deutsche Granaten in Russland einschlagen?
159	20.03.2024	ID2015904700	Michael Breilmann (CDU/CSU)	Frau Präsidentin, vielen Dank. – Meine Nachfrage, Frau Ministerin Faeser, bezieht sich noch mal auf diese unselige Hängepartie bei der IP-Adressen-Speicherung. Ihre Kabinettskollegin, Frau Ministerin Geywitz, fasste den Sachstand Ende letzten Jahres mal in einem Interview bei der „Rheinischen Post“ zusammen. Ich möchte daraus zitieren:  „Herr Buschmann möchte mit dem Faustpfand Mietrecht, das der SPD am Herzen liegt, beim Thema Vorratsdatenspeicherung Druck auf die sozialdemokratische Innenministerin ausüben.“  Das war die halbe Minute.  Meine Frage an Sie: Können Sie das bestätigen?  Frau Ministerin.  Und wenn nein: Warum nicht? Und wenn ja – –  Den Rest denkt sie sich.  Na gut.
131	19.10.2023	ID2013116200	Karsten Hilse (AfD)	Wertes Präsidium! Meine Damen und Herren! Liebe Landsleute! Vor allem: Werte Leugner des natürlichen Klimawandels! Seit über 20 Jahren wird der Ausbau von umweltzerstörenden Flatterstromanlagen in diesem Lande vorangetrieben, immer einhergehend mit der Leugnung des natürlichen Klimawandels und seiner natürlichen Ursachen – mit der pseudowissenschaftlichen Behauptung, die menschengemachten CO2-Emissionen wären der Haupttreiber des Klimawandels. Unter Missachtung grundlegender physikalischer Gesetze, von Ergebnissen aus Eisbohrkernen, sedimentologischen und paläontologischen Beobachtungen behaupten Sie, wir müssten das Weltklima retten, indem wir deutsche Kulturlandschaften mit Vogelschreddern und riesigen Insektenfallen zupflastern. Welch ein Irrsinn!  Dazu gebe es keine Alternative. So steht wörtlich in Ihrem Gesetzentwurf – ich zitiere –: „Alternativen: Keine.“  Das ist eine dreiste Lüge; denn es ist gerade mal sechs Monate her, dass Sie die Alternative einer CO2-freien Stromerzeugung – das ist für Sie ja die heilige Kuh – rücksichtslos abgeschaltet haben, nämlich die sichersten Kernkraftwerke der Welt.  Eine AfD-geführte Bundesregierung wird diesen katastrophalen Fehler korrigieren. Wir werden nicht nur die Kernkraftwerke, die die sicherheitstechnischen Voraussetzungen erfüllen, wieder reaktivieren, sondern auch neue, moderne Kernkraftwerke bauen. Wir werden jegliche wie auch immer geartete CO2-Bepreisung beenden und die Voraussetzungen für eine umweltschonende, sichere und kostengünstige Energieversorgung schaffen.  Sie machen das genaue Gegenteil. Ihr erzwungener Kohle- und Kernkraftausstieg, Ihr erzwungener, mit Milliarden Euro gepamperter Ausbau von Vogelschreddern und großflächigen Solaranlagen, Ihr erzwungener Umbau von Millionen Häusern und Eigenheimen, Ihre erzwungene Abkehr vom Verbrennungsmotor zerstören die Lebensgrundlagen und den Wohlstand der Menschen in Deutschland.  Ihre Politik, die die Vereinigung von Ignoranz, Dummheit und Böswilligkeit ist, führt zur Ausplünderung, Verelendung und Enteignung großer Teile des deutschen Volkes.  Wie die Seite sarkasmus.info schreibt – ich zitiere –, haben die Berliner aber auch das Problem, dass sie kaum noch Termine bei Physiotherapeuten bekommen, weil diese durch Ampelpolitiker, wegen massiver Rückenbeschwerden, besetzt werden. Die einen bekommen Rückenprobleme, weil sie 24 Stunden am Tag den Bückling vor dem amerikanischen Establishment,  Klimapseudowissenschaftlern und anderen Scharlatanen machen, und die anderen Schulterprobleme, weil sie sich 24 Stunden am Tag selbst auf die Schultern klopfen, weil sie so toll sind. Zitat Ende.  Nein, Sie sind nicht toll, Sie sind die schlimmste Seuche,  die Deutschland seit dem Zweiten Weltkrieg heimgesucht hat.  Herr Kollege, mäßigen Sie sich bitte in dieser Debatte! Das hat mit parlamentarischem Anstand nichts mehr zu tun.  Sie sind die schlimmste Regierung, die Deutschland heimgesucht hat. Solche gewissen- und charakterlosen Politiker braucht kein Mensch.  Was es in dieser Zeit braucht, sind besonnene, von Vernunft und Pragmatismus geleitete Politiker. Diese finden sie vorzugsweise in der AfD.  Im Übrigen bin ich der Meinung: Wer Grün wählt, wählt den Krieg.  Ich bedanke mich.  Konrad Stockmeier hat das Wort für die FDP-Fraktion.
